"","hlev2g","wksuem","agegp","efmjsi","efmjie"
"834",3,36,14,2,2
"835",3,0,8,2,1
"836",4,0,13,2,2
"837",4,0,12,2,1
"838",4,0,7,2,1
"839",1,0,15,2,2
"840",3,0,13,2,1
"841",4,0,8,2,1
"842",4,0,8,2,2
"843",6,96,1,2,2
"844",6,96,1,2,2
"845",6,96,1,2,2
"846",3,0,7,2,1
"847",6,96,1,2,2
"848",1,0,6,2,1
"849",2,11,12,2,1
"850",2,0,14,2,1
"851",1,26,13,4,1
"852",4,0,10,2,1
"853",9,8,10,2,1
"854",2,52,4,2,2
"855",3,44,13,6,1
"856",2,0,13,6,2
"857",3,0,15,2,1
"858",3,96,16,4,1
"859",2,96,16,4,2
"860",2,0,12,2,2
"861",4,0,12,2,1
"862",1,0,5,2,2
"863",2,0,6,2,2
"864",2,0,5,4,1
"865",1,0,14,3,1
"866",3,0,9,2,1
"867",4,30,10,2,1
"868",4,51,9,2,2
"869",2,0,12,2,2
"870",2,0,12,2,1
"871",2,15,7,2,2
"872",3,0,8,2,1
"873",3,12,8,2,2
"874",6,96,3,2,2
"875",3,0,8,2,2
"876",3,0,9,2,1
"877",6,96,1,2,2
"878",6,96,1,2,2
"879",4,0,10,2,2
"880",2,0,10,2,1
"881",6,96,3,2,2
"882",6,96,2,2,2
"883",2,0,14,4,2
"884",4,44,9,4,1
"885",2,12,4,4,2
"886",4,0,15,6,1
"887",4,0,15,6,2
"888",9,2,5,4,1
"889",2,0,11,4,1
"890",2,48,6,4,2
"891",6,96,1,4,2
"892",3,0,12,2,1
"893",2,0,11,2,2
"894",2,0,4,2,2
"895",2,0,7,2,2
"896",2,0,6,2,1
"897",4,0,9,2,2
"898",4,0,9,2,1
"899",6,96,1,2,2
"900",6,96,1,2,2
"901",3,96,16,6,1
"902",2,0,15,6,2
"903",4,0,13,2,1
"904",4,0,13,2,2
"905",2,4,9,4,1
"906",6,96,3,4,2
"907",6,96,2,4,2
"908",6,96,2,4,2
"909",3,0,10,2,2
"910",3,0,10,2,1
"911",1,0,4,2,2
"912",6,96,3,2,2
"913",3,0,13,2,2
"914",2,36,14,2,1
"915",4,0,12,2,1
"916",3,52,11,2,2
"917",1,52,5,2,2
"918",6,96,3,2,2
"919",4,96,16,4,1
"920",1,0,15,4,2
"921",3,0,14,4,1
"922",3,0,7,2,2
"923",3,0,8,2,1
"924",2,0,15,4,1
"925",9,52,9,4,1
"926",2,0,6,4,1
"927",2,0,6,4,1
"928",4,96,16,4,1
"929",3,51,7,4,2
"930",3,32,9,4,1
"931",6,96,3,4,2
"932",6,96,3,4,2
"933",6,96,1,4,2
"934",6,96,1,4,2
"935",4,0,10,3,2
"936",4,0,10,3,1
"937",1,0,4,3,2
"938",6,96,3,3,2
"939",1,0,14,2,1
"940",1,36,5,2,2
"941",2,0,11,2,2
"942",1,0,11,2,1
"943",6,96,1,2,2
"944",2,0,6,2,1
"945",2,16,6,2,1
"946",4,0,8,2,2
"947",2,0,7,2,1
"948",6,96,1,2,2
"949",2,10,12,2,2
"950",3,0,11,2,1
"951",2,18,6,2,2
"952",2,0,6,2,2
"953",1,0,12,3,1
"954",2,96,16,2,2
"955",3,0,12,2,1
"956",2,96,16,6,1
"957",4,0,16,6,2
"958",2,0,12,2,2
"959",2,0,12,2,1
"960",4,9,6,2,2
"961",2,0,6,2,2
"962",4,0,7,2,2
"963",4,0,8,2,1
"964",4,0,10,2,1
"965",4,0,15,4,1
"966",1,0,13,2,2
"967",1,0,13,2,1
"968",2,0,11,2,1
"969",4,0,11,2,2
"970",4,0,15,6,1
"971",4,0,13,2,1
"972",9,52,11,2,2
"973",3,25,6,2,2
"974",3,52,6,2,2
"975",3,0,8,2,1
"976",3,0,8,2,2
"977",6,96,2,2,2
"978",6,96,2,2,2
"979",6,96,1,2,2
"980",6,96,1,2,2
"981",3,0,7,2,1
"982",3,0,7,2,2
"983",6,96,1,2,2
"984",6,96,1,2,2
"985",2,96,16,4,1
"986",2,0,12,2,2
"987",3,0,13,2,1
"988",2,0,8,2,2
"989",3,0,7,2,1
"990",6,96,1,2,2
"991",6,96,1,2,2
"992",3,0,11,2,1
"993",3,0,12,2,2
"994",2,0,12,2,1
"995",3,0,12,2,2
"996",3,0,6,2,2
"997",1,0,4,2,2
"998",6,96,3,2,2
"999",3,0,13,3,1
"1000",1,0,13,3,2
"1001",4,0,12,2,1
"1002",4,0,12,2,2
"1003",3,0,6,2,2
"1004",1,0,14,2,1
"1005",1,96,16,4,1
"1006",1,96,16,4,2
"1007",4,0,10,2,2
"1008",4,0,11,2,1
"1009",6,96,3,2,2
"1010",6,96,3,2,2
"1011",4,0,10,2,1
"1012",2,28,5,2,2
"1013",6,96,3,2,2
"1014",6,96,2,2,2
"1015",3,40,12,4,1
"1016",1,0,12,4,1
"1017",3,0,14,2,1
"1018",3,0,13,2,2
"1019",3,96,16,6,1
"1020",2,0,15,5,2
"1021",1,96,16,5,1
"1022",3,0,7,2,1
"1023",1,0,9,2,2
"1024",3,0,12,2,1
"1025",1,52,7,4,1
"1026",3,0,11,2,2
"1027",2,0,10,2,1
"1028",3,0,8,2,2
"1029",1,8,10,2,1
"1030",6,96,2,2,2
"1031",6,96,1,2,2
"1032",3,0,10,2,1
"1033",2,0,15,2,2
"1034",2,0,16,2,1
"1035",4,96,16,4,1
"1036",2,27,14,4,2
"1037",2,0,15,6,1
"1038",3,0,13,2,1
"1039",4,0,9,2,2
"1040",4,0,9,2,1
